system:index,B11,B12,B5,B6,B7,B8,Blue,Green,Red,SR_ATMOS_OPACITY,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_CDIST,cirrus_conf,class,cloud_conf,cloudshad_conf,date,dialated_cloud,mission,snowice_conf,system:time_start,vol_init,.geo
00000000000000000607,NA,NA,0.01022375,0.00250999999999999,0.00417374999999999,NA,0.01209375,0.0139775,0.00282624999999998,0.459,0.01209375,0.0139775,0.00282624999999998,0.01022375,0.00250999999999999,0.00417374999999999,4.87,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.74104565427751,46.806015473545386]}"
00000000000000000608,NA,NA,0.01011375,0.00248249999999999,0.00415999999999999,NA,0.01185999999999999,0.00888999999999999,-0.00120249999999999,0.465,0.01185999999999999,0.00888999999999999,-0.00120249999999999,0.01011375,0.00248249999999999,0.00415999999999999,4.19,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.79082705843818,46.77804353263711]}"
00000000000000000609,NA,NA,0.00948124999999999,0.00227624999999999,8.999999999999286e-5,NA,0.0079825,0.00776249999999999,-0.00215124999999999,0.469,0.0079825,0.00776249999999999,-0.00215124999999999,0.00948124999999999,0.00227624999999999,8.999999999999286e-5,1.85,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.83614490244436,46.78557049521533]}"
0000000000000000060a,NA,NA,0.0238775,0.01389499999999999,0.01221749999999999,NA,0.02296999999999999,0.01977999999999999,0.01119999999999998,0.414,0.02296999999999999,0.01977999999999999,0.01119999999999998,0.02387749999999999,0.01389499999999999,0.01221749999999999,2.11,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-92.04110748236599,46.75053087913735]}"
0000000000000000060b,NA,NA,0.02731500000000001,0.015325,0.01573749999999998,NA,0.0225575,0.019175,0.0141975,0.559,0.0225575,0.01917499999999999,0.0141975,0.027315,0.015325,0.01573749999999998,1.93,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.74641887104691,46.92083286657056]}"
0000000000000000060c,NA,NA,1.724999999999921e-4,9.974999999999843e-4,0.00352749999999998,NA,-0.00232999999999999,-5.150000000000154e-4,-0.00920499999999999,0.542,-0.00232999999999999,-5.150000000000154e-4,-0.00920499999999999,1.724999999999921e-4,9.974999999999843e-4,0.00352749999999998,3.1,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.2328508254184,47.109814028316656]}"
0000000000000000060d,NA,NA,3.500000000000725e-5,9.699999999999986e-4,0.0035,NA,-0.00257750000000001,-7.074999999999998e-4,-0.00527250000000001,0.543,-0.00257750000000001,-7.074999999999998e-4,-0.00527250000000001,3.500000000000725e-5,9.699999999999986e-4,0.0035,3.25,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.21911679417379,47.09812672445557]}"
0000000000000000060e,NA,NA,3.374999999999906e-4,0.00393999999999999,0.00352749999999998,NA,-0.00725249999999999,-2.1250000000000435e-4,-0.0089575,0.538,-0.00725249999999999,-2.1250000000000435e-4,-0.0089575,3.374999999999906e-4,0.00393999999999999,0.00352749999999998,3.06,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.21980349573602,47.079425254637414]}"
0000000000000000060f,NA,NA,0.01529749999999999,0.00542499999999998,0.00924749999999999,NA,0.02415249999999999,0.01999999999999999,0.01241,0.167,0.02415249999999999,0.01999999999999999,0.01241,0.01529749999999999,0.00542499999999998,0.00924749999999999,11.67,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.60934364331716,46.77946152677211]}"
00000000000000000610,NA,NA,0.015215,0.0080925,0.00924749999999999,NA,0.01977999999999999,0.01988999999999999,0.012355,0.169,0.01977999999999999,0.01988999999999999,0.012355,0.015215,0.0080925,0.00924749999999999,8.34,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.564025799311,46.75688955723956]}"
00000000000000000611,NA,NA,0.01422499999999998,0.0050675,0.00908249999999999,NA,0.01757999999999998,0.018185,0.0108975,0.198,0.01757999999999998,0.018185,0.0108975,0.01422499999999998,0.0050675,0.00908249999999999,5.88,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.36077997329492,46.81988773692266]}"
00000000000000000612,NA,NA,0.01516,0.0080925,0.00157499999999999,NA,0.0238775,0.024125,0.012245,0.172,0.02387749999999999,0.024125,0.012245,0.01516,0.0080925,0.00157499999999999,8.120000000000001,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.5832489839524,46.81706958505688]}"
00000000000000000613,NA,NA,0.019175,0.00536999999999998,0.0053975,NA,0.021595,0.01966999999999999,0.01216249999999999,0.173,0.021595,0.01966999999999999,0.01216249999999999,0.01917499999999999,0.00536999999999998,0.00539749999999999,8.35,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.59423620894809,46.751244335305906]}"
00000000000000000614,NA,NA,0.01517375,0.00537,0.0053975,NA,0.02182874999999999,0.01554499999999999,0.00542499999999999,0.171,0.02182874999999999,0.01554499999999999,0.00542499999999999,0.01517375,0.00537,0.00539749999999999,3.0500000000000003,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.53793113994622,46.70982374562045]}"
00000000000000000615,NA,NA,0.01064999999999999,0.00671749999999998,0.01263,NA,0.01254749999999999,0.01691999999999999,0.00581000000000001,0.302,0.01254749999999999,0.01691999999999999,0.00581000000000001,0.01064999999999999,0.00671749999999998,0.01263,7.22,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.80886166085254,47.24612428841944]}"
00000000000000000616,NA,NA,0.00861499999999998,0.00891749999999999,0.00850499999999998,NA,0.01287749999999998,0.01835,0.002895,0.354,0.01287749999999998,0.01835,0.002895,0.00861499999999998,0.00891749999999999,0.00850499999999998,7.76,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.74568957622837,47.28945337335577]}"
00000000000000000617,NA,NA,0.00924749999999999,0.006305,6.674999999999875e-4,NA,0.00476499999999999,0.00985249999999998,0.003775,0.338,0.00476499999999999,0.00985249999999998,0.003775,0.00924749999999999,0.006305,6.674999999999875e-4,7.890000000000001,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.76011030903523,47.25591201523175]}"
00000000000000000618,NA,NA,0.01471999999999998,0.00520499999999998,0.00919249999999999,NA,0.01903749999999998,0.02357499999999998,0.01161249999999999,0.189,0.01903749999999998,0.02357499999999998,0.01161249999999999,0.01471999999999998,0.00520499999999998,0.00919249999999999,4.91,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.76217041372192,47.18128895910233]}"
00000000000000000619,NA,NA,0.01829500000000001,0.01048499999999999,0.01293249999999998,NA,0.02833250000000001,0.02252999999999999,0.0143625,0.199,0.02833250000000001,0.02252999999999999,0.0143625,0.018295,0.01048499999999999,0.01293249999999998,5.15,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.31550226119825,46.87268349339545]}"
0000000000000000061a,NA,NA,0.022365,0.01320749999999998,0.00525999999999998,NA,0.02833250000000001,0.0269025,0.01782749999999999,0.2,0.02833250000000001,0.02690249999999999,0.01782749999999999,0.02236499999999999,0.01320749999999998,0.00525999999999998,10.55,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.44527993825774,46.86986980063072]}"
0000000000000000061b,NA,NA,0.01826749999999999,0.01320749999999998,0.00911,NA,0.02833250000000001,0.02252999999999999,0.01785500000000001,0.2,0.02833250000000001,0.02252999999999999,0.01785500000000001,0.01826749999999999,0.01320749999999998,0.00911,9.92,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.39721528800264,46.904124614923305]}"
0000000000000000061c,NA,NA,0.0145275,0.01059499999999999,0.009165,NA,0.0206875,0.01879,0.0113375,0.194,0.02068749999999999,0.01879,0.0113375,0.01452749999999999,0.01059499999999999,0.009165,2.66,0,openWater,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.32717618775617,47.29163833287195]}"
0000000000000000061d,NA,NA,0.14133,0.114875,0.09540500000000002,NA,0.05836249999999998,0.09298499999999998,0.1139675,0.388,0.05836249999999998,0.09298499999999998,0.1139675,0.14133,0.114875,0.09540500000000002,1.86,0,lightNearShoreSediment,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.79772082866681,46.69360599508907]}"
0000000000000000061e,NA,NA,0.1974025,0.1963575,0.16712500000000002,NA,0.07552249999999999,0.11113499999999998,0.13605,0.42,0.07552249999999999,0.11113499999999998,0.13605,0.1974025,0.1963575,0.16712500000000002,0.66,0,lightNearShoreSediment,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.86090629059414,46.692174623650914]}"
0000000000000000061f,NA,NA,0.01746999999999998,0.01296,0.00902749999999999,NA,0.03372249999999999,0.06136000000000002,0.0591875,0.227,0.03372249999999999,0.06136000000000002,0.0591875,0.01746999999999998,0.01296,0.00902749999999999,0.79,0,lightNearShoreSediment,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-90.82977930389426,46.935944760040684]}"
00000000000000000620,NA,NA,0.0630925,0.03069749999999999,0.024125,NA,0.03215499999999999,0.043705,0.04532749999999999,0.42,0.03215499999999999,0.04370499999999999,0.04532749999999999,0.0630925,0.03069749999999999,0.024125,0.73,0,darkNearShoreSediment,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.86036228026562,46.6927498476868]}"
00000000000000000621,NA,NA,0.05074499999999999,0.02250250000000001,0.01625999999999999,NA,0.03209999999999999,0.0501125,0.04653750000000001,0.39,0.03209999999999999,0.0501125,0.04653750000000001,0.05074499999999998,0.02250250000000001,0.01625999999999999,1.96,0,darkNearShoreSediment,1,1,2004-08-15,0,LS5,1,2004-08-15T00:00:00Z,BGS,"{""type"":""Point"",""coordinates"":[-91.79727937766252,46.69439971507658]}"
