system:index,B11,B12,B5,B6,B7,B8,Blue,Green,MSK_CLDPRB,MSK_SNWPRB,Red,SR_B1,SR_B11,SR_B12,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_B8,SR_B8A,SR_B9,cirrus,cirrus_scl,class,cloud_shadow,dark_pixel,date,hi_prob_cloud,low_prob_cloud,med_prob_cloud,mission,opaque,snow_ice,system:time_start,vol_init,water,.geo
000000000000000013bc,14,10.5,0.0055,0.00505,0.00625,0.00495,0.0259,0.01535,0,0,0.0059,0.0291,0.0014,0.00105,0.0259,0.01535,0.0059,0.0055,0.00505,0.00625,0.00495,0.0043,0.00945,0,0,openWater,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.28719142860992,46.725791786492834]}"
000000000000000013bd,19,13,0.0058,0.0056,0.0049,0.0044,0.026,0.0159,0,0,0.006,0.0294,0.0019,0.0013,0.026,0.0159,0.006,0.0058,0.0056,0.0049,0.0044,0.0048,0.012,0,0,openWater,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.22676615023467,46.739913759529095]}"
000000000000000013be,12,4,0.0049,0.0042,0.0047,0.004,0.0265,0.0132,0,0,0.0053,0.0289,0.0012,4e-4,0.0265,0.0132,0.0053,0.0049,0.0042,0.0047,0.004,0.0041,0.0024,0,0,openWater,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.41524789266278,46.71661495652484]}"
000000000000000013bf,8,9,0.0057,0.0048,0.0054,0.0045,0.0271,0.014,0,0,0.0054,0.0291,8e-4,9.000000000000001e-4,0.0271,0.014,0.0054,0.0057,0.0048,0.0054,0.0045,0.0047,0.0034,0,0,openWater,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.39293455099133,46.68671222486043]}"
000000000000000013c0,13,6.5,0.00515,0.00465,0.00565,0.00405,0.026950000000000002,0.0151,0,0,0.00555,0.0294,0.0013,6.5e-4,0.026950000000000002,0.0151,0.00555,0.00515,0.00465,0.00565,0.00405,0.0043,0.00665,0,0,openWater,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.34280979604954,46.72014656455917]}"
000000000000000013c1,14,7.5,0.00965,0.00765,0.0087,0.00645,0.0464,0.04865,0,0,0.01275,0.04185,0.0014,7.5e-4,0.0464,0.04865,0.01275,0.00965,0.00765,0.0087,0.00645,0.0052,0.00955,0,0,algalBloom,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.26924800597085,46.62632261929361]}"
000000000000000013c2,15.5,14,0.007,0.00635,0.00835,0.00635,0.04695,0.0469,0,0,0.01015,0.04125,0.00155,0.0014,0.04695,0.0469,0.01015,0.007,0.00635,0.00835,0.00635,0.00655,0.01175,0,0,algalBloom,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.31276437315142,46.61983908636191]}"
000000000000000013c3,19,4,0.0067,0.0072,0.00875,0.00605,0.0394,0.0397,0,0,0.008,0.03525,0.0019,4e-4,0.0394,0.0397,0.008,0.0067,0.0072,0.00875,0.00605,0.0058,0.00975,0,0,algalBloom,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.29911952392789,46.62620222356518]}"
000000000000000013c4,14,12,0.0084,0.0024,0.003,0.0021,0.0442,0.0479,0,0,0.013,0.0396,0.0014,0.0012,0.0442,0.0479,0.013,0.0084,0.0024,0.003,0.0021,0.0022,0.0073,0,0,algalBloom,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.24573070701497,46.62667488827684]}"
000000000000000013c5,15.5,7.5,0.00775,0.0066,0.0087,0.0066,0.0437,0.04435,0,0,0.0088,0.0413,0.00155,7.5e-4,0.0437,0.04435,0.0088,0.00775,0.0066,0.0087,0.0066,0.00665,0.0105,0,0,algalBloom,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.2642716491952,46.63162894954722]}"
000000000000000013c6,1371,1447,0.1414,0.13625,0.13765,0.1417,0.16855,0.1539,11,0,0.1408,0.1096,0.1371,0.1447,0.16855,0.1539,0.1408,0.1414,0.13625,0.13765,0.1417,0.1381,0.06670000000000001,0,0,cloud,0,0,2020-07-12,0,0,0,SEN2,0,0,2020-07-12T00:00:00Z,LAE,1,"{""type"":""Point"",""coordinates"":[-90.35731079267535,46.99497879888727]}"
