"mission","date","name","initials","finished?","n_PR","PRs"
"LANDSAT_5",1998-10-02,"","","",2,"2627; 2628"
"LANDSAT_5",1987-11-05,"","","",2,"2627; 2628"
"LANDSAT_5",2007-05-04,"","","",2,"2627; 2628"
"LANDSAT_7",1999-10-29,"","","",2,"2627; 2628"
"LANDSAT_5",1991-10-31,"","","",1,"2627"
"LANDSAT_5",1988-11-23,"","","",2,"2627; 2628"
"LANDSAT_7",2020-08-03,"","","",2,"2627; 2628"
"LANDSAT_5",2000-08-04,"","","",2,"2627; 2628"
"LANDSAT_5",2006-06-02,"","","",2,"2627; 2628"
"LANDSAT_7",2013-08-16,"","","",2,"2627; 2628"
"LANDSAT_5",1989-08-22,"","","",1,"2628"
"LANDSAT_8",2020-08-11,"","","",2,"2627; 2628"
"LANDSAT_5",1990-06-06,"","","",2,"2627; 2628"
"LANDSAT_5",2008-06-23,"","","",2,"2627; 2628"
"LANDSAT_7",2015-07-05,"","","",2,"2627; 2628"
"LANDSAT_5",2004-08-15,"","","",2,"2627; 2628"
"LANDSAT_8",2015-05-10,"","","",2,"2627; 2628"
"LANDSAT_7",2006-09-14,"","","",2,"2627; 2628"
"LANDSAT_8",2022-11-21,"","","",1,"2628"
"LANDSAT_5",1993-06-30,"","","",2,"2627; 2628"
"LANDSAT_5",2011-10-06,"","","",2,"2627; 2628"
"LANDSAT_9",2022-05-05,"","","",2,"2627; 2628"
"LANDSAT_5",2010-04-10,"","","",2,"2627; 2628"
"LANDSAT_5",1995-11-11,"","","",1,"2628"
"LANDSAT_7",2020-07-18,"","","",2,"2627; 2628"
"LANDSAT_5",1999-11-06,"","","",2,"2627; 2628"
"LANDSAT_5",1984-06-21,"","","",2,"2627; 2628"
"LANDSAT_9",2022-08-09,"","","",2,"2627; 2628"
"LANDSAT_8",2015-07-29,"","","",1,"2628"
"LANDSAT_7",2006-08-29,"","","",2,"2627; 2628"
"LANDSAT_5",1989-10-09,"","","",1,"2628"
"LANDSAT_5",2004-07-14,"","","",2,"2627; 2628"
"LANDSAT_5",1985-09-12,"","","",2,"2627; 2628"
"LANDSAT_7",2010-11-12,"","","",2,"2627; 2628"
"LANDSAT_7",2011-04-05,"","","",2,"2627; 2628"
"LANDSAT_7",2015-10-09,"","","",2,"2627; 2628"
"LANDSAT_5",2009-04-23,"","","",2,"2627; 2628"
"LANDSAT_7",2002-09-03,"","","",2,"2627; 2628"
"LANDSAT_7",2015-07-21,"","","",2,"2627; 2628"
"LANDSAT_7",2004-06-20,"","","",2,"2627; 2628"
"LANDSAT_8",2020-08-27,"","","",2,"2627; 2628"
"LANDSAT_8",2016-11-04,"","","",2,"2627; 2628"
"LANDSAT_5",1995-05-19,"","","",2,"2627; 2628"
"LANDSAT_5",2011-11-07,"","","",2,"2627; 2628"
"LANDSAT_7",2016-08-08,"","","",2,"2627; 2628"
"LANDSAT_7",2008-11-22,"","","",2,"2627; 2628"
"LANDSAT_8",2020-04-05,"","","",2,"2627; 2628"
"LANDSAT_5",1996-05-21,"","","",2,"2627; 2628"
"LANDSAT_5",1991-06-09,"","","",2,"2627; 2628"
"LANDSAT_5",1998-08-31,"","","",2,"2627; 2628"
"LANDSAT_5",2004-10-18,"","","",1,"2627"
"LANDSAT_7",2007-04-26,"","","",2,"2627; 2628"
"LANDSAT_7",2004-06-04,"","","",2,"2627; 2628"
"LANDSAT_7",2001-04-25,"","","",2,"2627; 2628"
"LANDSAT_8",2022-08-17,"","","",2,"2627; 2628"
"LANDSAT_5",1998-04-09,"","","",2,"2627; 2628"
"LANDSAT_5",1986-05-10,"","","",2,"2627; 2628"
"LANDSAT_7",2009-09-06,"","","",2,"2627; 2628"
"LANDSAT_7",2003-05-01,"","","",2,"2627; 2628"
"LANDSAT_7",2016-11-12,"","","",2,"2627; 2628"
"LANDSAT_5",1994-07-19,"","","",2,"2627; 2628"
"LANDSAT_5",2003-08-13,"","","",2,"2627; 2628"
"LANDSAT_7",2000-06-25,"","","",2,"2627; 2628"
"LANDSAT_8",2022-05-29,"","","",1,"2628"
"LANDSAT_7",2015-10-25,"","","",2,"2627; 2628"
"LANDSAT_7",2004-09-24,"","","",1,"2627"
"LANDSAT_7",2016-07-07,"","","",1,"2628"
"LANDSAT_7",2007-07-15,"","","",2,"2627; 2628"
"LANDSAT_7",2022-09-19,"","","",2,"2627; 2628"
"LANDSAT_5",2003-05-09,"","","",1,"2627"
"LANDSAT_8",2021-06-27,"","","",2,"2627; 2628"
"LANDSAT_7",2005-09-27,"","","",2,"2627; 2628"
"LANDSAT_7",2016-09-25,"","","",2,"2627; 2628"
"LANDSAT_7",2017-07-26,"","","",2,"2627; 2628"
"LANDSAT_8",2018-06-19,"","","",2,"2627; 2628"
"LANDSAT_7",2020-10-06,"","","",2,"2627; 2628"
